Id,AyahText,SurahNo,AyahNumber,Comment
47,"Эй Исроил ўғиллари! Сизга берган неъматимни ёдда тутинг; Мен сизга берган Аҳдимга вафо қилар эканман, сиз ҳам Менга берган Аҳдингизга вафо қилинг ва ёлғиз Мендан қўрқинг.",2,40,
48,"Сиздаги Китобни тасдиқлаб нозил қилганимга ишониб тасдиқ этинг. Унга кофир бўлганларнинг аввали/боши бўлманг. Менинг оятларимни оз эвазга сотманг, ёлғиз Менга тақво қилинг.",2,41,
49,Ҳақни Ботил билан ўраманг ва билиб туриб ушбу Ҳақни беркитманг.,2,42,
50,"Салотни қоим қилинг/Кўрсатил Йўлга эргашинг, Закотни адо этинг/Қайтариқлардан қайтинг ва Рукуъ қилувчилар билан бирга рукуъ қилинг/бўйин эгганлар билан бирга бўйин эгинг.",2,43,
51,"Наҳотки Китобни тиловат қилиб, одамларга яхшиликни буюрасиз-у, ўз ичингизда буюрмайсиз/ўзингизни тарк этасиз? Ҳеч ақл ишлатмайсизми?!",2,44,
52,"Сабр ва Салот/Буюрилган Йўлга эргашиш билан мадад истанг. Бу ҳақиқатан қийин, фақат хушуъ эгалари мустасно.",2,45,
53,Улар Раббига рўбарў бўлишларига ҳамда Унга қайтишларига аниқ ишонадилар.,2,46,
54,"Эй Исроил ўғиллари, Сизга берган неъматимни ҳамда сизни оламлардан/бошқа қавмлардан фазилатли қилганимни ёдда тутинг/уларга берилмаган неъматимни сизга берганимни ёдда тутинг!",2,47,
55,"Бир жон бошқаси учун ҳеч нарса ўтай олмайдиган; ундан шафоат қабул қилинмайдиган; ундан бадал олинмайдиган, ва уларга ёрдам қилинмайдиган Кундан тақво қилинг/эҳтиёт бўлинг.",2,48,
56,"Эсланг, сизга ёмон азоблар бераётган Фиръавн хонадонидан нажот бердик. У ўғилларингизни забҳ этиб/қаршилигини синдириб, аёлларингизни ҳаётда қолдираётган/уятли ҳолатга солаётган эди, ва бунда Раббингиздан улуғ синов бор эди.",2,49,
57,"Эсланг, сиз билан денгизни айирдик, сизни халос этдик, кўз олдингизда Фиръавн хонадонини ғарқ қилдик.",2,50,
58,"Эсланг, Мусо билан қирқ кечага ваъдалашдик, сиз эса ундан кейин жабр-зулм қилиб, олтинни/бузоқни илоҳ тутдингиз.",2,51,
59,Сўнгра шукур қилишингиз учун сизни афв этдик.,2,52,
60,"Эсланг, Тўғри Йўлга юришингиз учун Мусога Китобни/Қонунни ва Фурқонни/ҳақ ва ботилни ажратишни бердик.",2,53,
61,"Эсланг, Мусо қавмига деди: “Эй қавмим, сиз олтинни/бузоқни илоҳ тутиб, ўзингизга жабр-зулм қилдингиз. Сизни халос қилган Зотга тавба қилиб қайтинг! Ўзингизни ўлдиринг - Раббингиз наздида ана шу сизга яхшироқ”. У сизга қайтди/тавбангизни қабул қилди. Зеро У Таввоб Раҳим /тавбаларни қабул қилувчи ва раҳмдил.",2,54,
62,"Эсланг, сиз Мусога дедингиз: “Эй Мусо, Аллоҳни очиқ кўрмасдан, сенга ҳеч қачон ишонмаймиз!”, шу боис кўз ўнгингизда сизни яшин урди.",2,55,
63,"Сўнгра ўлимингиздан кейин, шукр қилишингиз учун ҳаётга қайтардик сизни,",2,56,
64,"Ва устингиздан булутни соя солдириб қўйдик, сизга Манна ва Салво* туширдик. Аллоҳ берган покиза ризқлардан енг. Улар бизга жабр қилолмасди, балки ўз-ўзларига жабр/зулм қилувчи эдилар. (*Манна ва Салво = қавмнинг барча аъзоларига тенг етадиган Аллоҳнинг ризқи).",2,57,
65,"Эсланг, Биз сизга дедик: “Мана шу шаҳарга киринг ва хоҳлаган жойидан енг, ва эшикдан сажда қилган/тўлиқ бўйсунган ҳолда киринг. “Ҳитта”/бизни авф айла!” денг, Биз хатоларингизни кечирамиз; яхшилик қилгувчиларга эса яна-да зиёда қилиб берамиз”.",2,58,
66,"Аммо ичингиздаги золимлар, ўзларига айтилган сўзни зулм ила бошқа сўзга ўзгартирди. Биз бундай золимларга фосиқлиги/йўлдан озгани учун устларидан Рижз/Азоб туширдик.",2,59,
67,"Эсланг, Мусо ўз қавми учун сув истаганида, “Асоинг-ла тошни қўзғат!” дедик, ундан ўн икки айн/чашма отилиб чиқди, ҳар қабила ўз суғориш ўрнини билиб олди. “Аллоҳ берган ризқдан еб-ичинг. Ер юзида бузғунчилик ёйманг!”",2,60,
68,"Эсланг, Мусога дедингиз: “Эй Мусо, биз бир хил егуликка сабримиз етмаяпти. Раббингга дуо қил-да, бизга ердан чиққан сабзавот: бодринг, саримсоқ, мош, пиёз берсин”. У деди: “Наҳотки бир хайр ўрнига бир пастни истайсиз? Мисрга/шаҳарга боринг, сўраганингизни топасиз”. Шу боис уларга зиллат/хорлик ва қашшоқлик тамғаси урилди. Аллоҳнинг ғазабига дучор бўлдилар, зеро улар Аллоҳнинг оятларини инкор этгандилар, ва Набийларни ноҳақ ўлдирган эдилар. Исёнлари ва ҳаддан ошганлари боис улар шунга лойиқ кўрилди.",2,61,
69,"Имон келтирганлар: яҳудийлар, насоролар ва собиийлар, Аллоҳга ва Охират кунига иймон келтирган бўлса ва солиҳ амал қилган бўлса, ана ўшаларга Рабби ҳузурида ажр-мукофотлар бор. Уларга хавф-хатар йўқ, улар маҳзун бўлмайдилар (2:38).",2,62,
70,"Эсланг, устингизга Турни кўтардик, ва сиздан Аҳд олдик: “Бизнинг берганимизни маҳкам тутинг, ва тақво эгалари бўлиш учун ундагиларни мудом ёдда тутинг”.",2,63,
71,"Бундан кейин яна юз ўгирдингиз. Сизга Аллоҳнинг фазли ва раҳмати бўлмаганида, зиёнда қолиб кетардингиз,",2,64,
72,"Орангиздан Сабт* кунида ҳаддидан ошганларни билардингиз, Биз уларга дедик: “Қувилган, хор маймунлар бўлинг”.(Қавмнинг моддий ва маънавий ҳаётини ислоҳ этиш учун, ҳафтада бир кунни айириб, Салот - илоҳий Китобни/Қонунларни ўрганиш/ўргатиш ҳамда Инфоқ - эҳтиёждан ортганини муҳтожларга бериш, ва бу кун дунёвий ишларни тўхтатиш амр қилинган эди (4:154, 16:124). Улар бунга риоя этишдан безидилар (Ҳут - безиш, 7:163-167). Бундай давомли интизомсизлик инсондан кўра маймунга кўпроқ хос (4:47, 4:154, 5:60)",2,65,
73,"Буни ўтмиш ва келажак насллар учун ибрат, тақво эгалари учун ўгит/эслатма қилдик.",2,66,
74,"Эсланг, Мусо қавмига деди: “Аллоҳ сизга буюради: молни забҳ қилинг/сўйинг/мол-мулк ҳирсидан воз кечинг”. Улар дедилар: “Бизни мазах қиляпсанми?” У деди: “Ундай жоҳиллардан бўлишдан Аллоҳга сиғинаман”.",2,67,
75,"Улар дедилар: “Раббингга дуо қил-чи, қанақа мол экан, очиқласин бизга”. У деди: “У демоқдаки, қари ҳам, ёш ҳам эмас, икковининг ўртасидаги мол. Сизга келган буйруқни бажаринг”.",2,68,
76,"Улар дедилар: “Раббингга дуо қил-чи, молнинг ранги қанақа экан, очиқласин бизга”. У деди: “У демоқдаки, ранги сап-сариқ, кўрган кўз қувонадиган”.",2,69,
77,"Улар дедилар: “У мол бошқа молларга ўхшаб қоляпти. Раббингга дуо қил-чи, у мол қанақа экан, очиқласин бизга, шунда тўғри йўлини топамиз, иншоаллоҳ”.",2,70,
78,"У деди: “У демоқдаки, бу минилмаган, ер ҳайдашда, экин суғоришда ишлатилмаган, айби-кемтиги йўқ, ола ранги йўқ мол”. Улар дедилар: “Мана энди ҳақиқатни келтирдинг”. Ана шундан кейин уни забҳ қилдилар, оз қолса, қилмасдилар.",2,71,
79,"Эсланг, бир тирик жонни ҳалокатга олиб бориб, масъулиятдан ўзингизни олиб қочардингиз. Аллоҳ сизнинг яширганингизни барибир чиқаради.",2,72,
80,"Биз дедик: “Бас, унинг баъзисини узатинг*”. Ана шундай, Аллоҳ ўликларни ҳаётга қайтаради/мусибатлардан нажот беради, ҳамда ақл ишлатишингиз учун Ўз оятларини/ишоратларини кўрсатади.(*Мол-мулкдан бир қисмини ўша ҳалокат ёқасидаги муҳтожларга йўналтиринг).",2,73,
81,"Кейин қалбингиз тошдек ёки тошдан-да баттар қотди. Баъзи тошлар бор, ундан анҳорлар отилиб чиқади, баъзилари бор, ёрилиб сув чиқади, баъзилари бор, Аллоҳдан қўрқиб қулайди. Аллоҳ сизнинг амалларингдан ғофил/бехабар эмас.",2,74,
82,"Наҳотки, улар сизга ишонади деб умид қилсангиз? Улардан бир гуруҳ бор, Аллоҳнинг каломини эшитиб, уни тўлиқ англаб етганидан кейин, уни таҳриф этади/ундаги маъноларни буради, ва буни билиб туриб қилади.",2,75,
83,"Қачонки иймон келтирганларни учратсалар, “Биз иймон келтирганмиз”, дейишади. Қачонки ўзаро холий қолсалар дейдиларки: “Аллоҳ сизга очган илмларни уларга ҳам айтиб бераяпсиз, Раббингиз ҳузурида сизга қарши ҳужжат қилишлари учунми? Ақлингиз ишламайдими?”",2,76,
84,Ахир уларнинг яширганию-ошкор қилгани Аллоҳга маълум эканини билишмайдими?,2,77,
85,"Улар орасида Уммийлар бор - Китобни/Қонунни билишмайди, фақат ўз орзулари/маъносини билмай ўқишлари бор холос, улар фақат гумон қиладилар.",2,78,
86,"Ўз қўллари билан Китоб/Қонун ёзиб, кейин уни оз эвазга сотиш учун, “Бу Аллоҳнинг ҳузуридан”, дегувчиларга вайл бўлсин! Улар ўз қўллари билан ёзганига вайл бўлсин! Олган даромадларига вайл бўлсин!",2,79,
87,"Улар дедилар: “Бизга Олов тегмайди, фақат саноқли кунларгина тегади”. Сен айт: “Аллоҳдан аҳд олганмисиз? Аллоҳ аҳдига асло хилоф қилмайди. Ёки Аллоҳ номидан ўзингиз билмаган нарсаларни гапиряпсизми?”",2,80,
88,"Аксинча! Ёмонликни касб қилиб олган ва гуноҳларга ғарқ бўлганлар, ана ўшалар Олов аҳли, унда абадий қоладилар.",2,81,
89,"Имон келтириб, солиҳ амал қилганлар, ана ўшалар Жаннат эгалари, унда абадий қоладилар.",2,82,
90,"Эсланг, Биз Исроил ўғилларидан Аҳд олдик: Аллоҳдан ўзгага қуллик/хизмат қилмайсиз, ота-онага, яқинларга, етимларга, мискинларга яхшилик қиласиз, одамларга яхши гапирасиз. Салотни қоим қиласиз/ушбу Аҳдга мудом риоя қиласиз, Закотни адо этасиз/уни бузмасдан покиза сақлайсиз. Сўнгра, сиздаги озчилик мустасно, ортингизга юз буриб кетдингиз.",2,83,
91,"Эсланг, сиздан Аҳд олдик: бир-бирингизнинг қонини тўкмайсиз ва диёрларидан чиқармайсиз. Ўшанда гувоҳлик бериб, иқрор бўлгансиз.",2,84,
92,"Кейин эса сизлар мана ўз-ўзингизни ўлдираяпсиз, ўзингиздан бир тоифани диёридан чиқараяпсиз, ҳолбуки, уларни чиқариш сизга ҳаром қилинган эди. Уларга қарши гуноҳ ва душманликда бирлашаяпсиз; сизга асир тушсалар, улардан фидя/тўлов истайсиз. Наҳотки Китобнинг бир қисмига ишониб, бир қисмини инкор этасиз?! Cиздан кимки бундай қилса, унинг жазоси - бу дунёда хорлик, Қиёмат кунида эса, энг шиддатли азобга қайтарилади. Аллоҳ қилмишларингиздан ғофил/бехабар эмас.",2,85,
93,"Охират ўрнига дунё ҳаётини сотиб олганлар ана ўшалар, улардан азоб енгиллатилмайди ва уларга ёрдам ҳам берилмайди.",2,86,
94,"Мусога Китобни бердик, ва ортидан Расуллар юбориб турдик, Марям ўғли Ийсога очиқ баён этилган оятлар/далиллар бердик, уни Руҳул-Қудус* билан қўлладик. Ҳар гал Расул келтиргани нафсингизга ёқмаса, кибр қилмадингизми - баъзиларини ёлғончига чиқариб, баъзиларини қатл этдингиз-ку?! (*Руҳул-Қудус - Китобнинг/Қонуннинг ахлоқий ва маънавий жиҳатларини англатувчи таълимот, ундаги буйруқ ва қайтариқларнинг моҳиятини жонли мисоллар билан тушунтирувчи даъват услуби - 26:193).",2,87,
95,"Улар дедилар: “Қалбларимиз қулф*”. Йўқ, ундай эмас, балки куфрлари туфайли Аллоҳ уларни лаънатлаган. Шу боис, ўта оз ишонадилар. (*Қулф - Китоб/Қонун илми тўла бизда жамланган, янги даъват ва таълимотга эҳтиёж ва зарурат йўқ).",2,88,
96,"Олдинроқ улар кофирлар устидан фатҳ/ғалаба сўраган эдилар, энди эса, Аллоҳ ҳузуридан улардагини тасдиқлаб бир Китоб/Қонун келганида, улар уни таниб, унга кофир бўлдилар. Бундай кофирларга Аллоҳнинг лаънати бор.",2,89,
97,"Аллоҳ ўз қуллари орасидан истаганига Ўз фазлидан ваҳй қилганини кўролмай, Аллоҳнинг нозил қилганига кофир бўлиш учун, ўзларини сотган нарсалари қанчалар ёмон! Ғазаб устига ғазабга лойиқ бўлдилар. Бундай кофирларга/ҳақни яширувчиларга Хорловчи Азоб бор.",2,90,
98,"Қачонки уларга дейилса: “Аллоҳ нозил қилганини ишониб тасдиқланг”, улар дедилар: “Биз фақат ўзимизга нозил бўлганига ишонамиз”. Ундан кейинги нозил бўлгани, агарчи ўзларидагини тасдиқ этиб турса ҳам, унга кофир бўлишади/уни инкор этишади. Сен айт: “Агар ишонган бўлсангиз, нега илгари Аллоҳнинг Набийларини қатл этаётган эдингиз?!”",2,91,
99,"Сизга Мусо очиқ баён этилган оятлар/далиллар келтирган эди. Сиз эса ундан кейин, золимлик қилиб, олтинни/бузоқни илоҳ тутдингиз!",2,92,
100,"Эсланг, устингизга Турни кўтариб/энг устунларингизни Турга чиқариб, сиздан Аҳд олдик: “Сизга берганимизни маҳкам тутинг ва тингланг”. Улар дедилар: “Тингладик ва осий бўлдик”, куфрлари туфайли қалбларига олтин/бузоқ ҳирси сингиб бўлганди. Сен айт: “Иймонингиз қандай ҳам ёмон нарсаларга буюради, агар умуман имонингиз бўлса!”",2,93,
101,"Сен айт: “Агар Аллоҳ ҳузурида Охират диёри ҳеч кимга эмас, фақат сизга аталган бўлса, ўлишни орзу қилинг-чи, рост бўлса!”",2,94,
102,"Улар ҳеч қачон ўлимни орзу қилолмайди, сабаби - ўз қўллари билан тақдим этганлари/қилмишлари. Аллоҳ бундай золимларни жуда яхши билади.",2,95,
103,"Улар ҳаёти-дунёга ҳатто мушриклардан-да кўпроқ ҳирс қўйган эканини топасан. Улардан бири минг йил умр кўришни орзу қилади. Аллоҳ уларнинг қилмишларини кўриб туради, узоқ умр кўриш асло азобдан халос этмайди.",2,96,
104,"Айт: “Кимки Жибрилга душманлик қилса, бунга сабаб - Уни/Китобни сенинг қалбингга Аллоҳнинг изни ила нозил этгани, олдинги китобларни тасдиқловчи ва унга ишонганларга Тўғри Йўлни ўргатувчи ва мужда ўлароқ нозил этганидир”.",2,97,
105,"Кимки Аллоҳга, унинг Малакларига ва Расулларига, яъни Жибрилга ва Микоилга душман бўлса, албатта, Аллоҳ бундай кофирларнинг душманидир”. (*Жибрил - Аллоҳнинг инсон ҳаётига мудохаласи, бу контекстда Қуръонни нозил қилиши; Микоил - раис, хомий маъносида, Қуръонни келтирган шахс - Муҳаммад алайҳис-салом)",2,98,1
106,"Сенга сўз билан очиқ баён этилган оятлар нозил қилдик, уларга фақат фосиқлар/йўлдан озганлар кофир бўлади/инкор этади.",2,99,
107,"Наҳотки, ҳар гал Аҳд берсалар, бир гуруҳи уни бузаверади?! Уларнинг кўплари имон келтирмайди.",2,100,
108,"Қачонки, Аллоҳ ҳузуридан уларга ўзларидаги Китобни тасдиқлаб Расул келганида, Китоб берилганлар орасидаги тоифа, Аллоҳнинг Китобини ҳеч билмагандек ортларига улоқтирди.",2,101,
109,"Улар шайтонлар/йўлдан оздирувчиларнинг Сулаймон ҳукмига қарши уқтирганларига эргашдилар. Сулаймон кофир бўлмаган, аксинча Шайтонлар/йўлдан оздирувчилар кофирлар эди, улар одамларга сеҳрни ўргатар эди/йўқни бордай кўрсатар эди, яъни Бобилда икки Малак орқали ўргатилган Хорут ва Морут* таълимотига эргашдилар. Улар иккиси “Биз фақат фитнамиз, сен кофир бўлма” демай туриб, ҳеч кимга ўргатишмасди. У иккисидан улар фақат эр-хотин орасини айирувчи нарсаларни ўрганишарди. Уларнинг сеҳрлари Аллоҳнинг изнисиз/ Аллоҳ қўйган қонунлари ташқарисида, ҳеч кимга зарар беролмайди. Улар фойдасиз, балки зарарли нарсаларни ўрганишарди. Улар аниқ билардики, уни сотиб олганларга Охиратда бирор насиба йўқ. Сотилган эвазлари нақадар ёмон, қанийди шуни билсалар! (Ҳорут ва Морут - зардуштийлик эътиқодида ХУРДОД мукаммаллик, АМРДОД эса абадиятни англатувчи теологик концепциялар. Шайтоннинг ёлғон қасамлар ичиб, Одамни жаннатдан чиқарган икки ваъдаси - Абадият дарахти ва битмас-туганмас Мулк - 20:120)",2,102,
110,"Агар ишониб, тақво қилганларида/ бундан тийилганларида, Аллоҳ ҳузуридаги эваз яхшироқ эканини билсалар эди.",2,103,
111,"Эй имон келтирганлар! “Бизга чўпон бўл!” деманг, “Бизга нозир бўл!” денг ва қулоқ солинг. Кофирларга/инкорчиларга Аламли Азоб бор. (*Тилни буриш билан “Роъина!” калимаси иброний тилида камситувчи маънога - “Бизга чўпон бўл!”, “Эй ғурурланган кимса!” каби маънолар олиши мумкин. Баъзи душманлар Расулга бу каби ҳақоратли хитоблар қилишган (4:46). Қуръон бизга тўғри сўзларни ишлатишга буюради (33:70). Оят давомидаги “Бизга нозир бўл!” амри билан Расулнинг диндаги мавқеи билдирилади. Расулга эргашиш сурувнинг чўпонга/жамоанинг бир раҳбар шахс истагига/инсофига ўзини топшириши эмас, балки Аллоҳ нозил қилган ваҳйдаги йўл-йўл-йўриқларга онгли равишда эргашишдир (7:3), ва Расул/раҳбар шахс буни фақат назорат қилиши мумкин. Бунинг аксини қилувчи кофирлар, Аллоҳнинг нозил қилгани ёнида ўз ҳукмини динлаштира бошлайди ва оқибатда жамоани подалаштиришга олиб келади).",2,104,1
112,"Аҳли Китоб орасидаги кофирлар ҳам, Мушриклар ҳам Раббингиздан сизга бирор хайр келишини хуш кўрмайди. Аллоҳ истаганини Ўз раҳматига хос қилади. Аллоҳ Улуғ Фазл Эгаси.",2,105,
113,"Биз бирор оятни нусха қилиб келтирсак ёки келтирмай қолдирсак, ундан яхшисини ёки ўхшашини келтирамиз. Билмасмидинг, Аллоҳ барча нарсага қодир/барча нарсанинг аниқ ўлчовини қўйган.",2,106,
114,"Осмонлару-Ернинг Мулки/Подшоҳлиги Аллоҳнинг эканини билмадингми; сиз учун Аллоҳдан ўзга валий/йўл кўрсатувчи ҳам, ёрдам берувчи ҳам йўқ.",2,107,
