"No","Text","Izohli","SurahNo","AyahNo"
"2:119",Биз сени Ҳақ ила - Хушхабар бергувчи ва Огоҳ этгувчи қилиб юбордик. Жаҳаннам аҳли ҳақида сен жавобгар эмассан.,"",,
"2:120","Уларнинг миллатига/динларига эргашмасанг, на яҳуд на насоро сендан рози бўлмайди. Сен айт: “Албатта, Аллоҳ ўргатган йўл - ана ўша Тўғри Йўлдир”. Агар сенга келган ушбу илмдан кейин ҳам уларнинг ҳаволарига/истакларига эргашсанг, сенга Аллоҳдан ўзга на бир валий/йўл кўрсатувчи бор, на бир ёрдам берувчи.","",,
"2:121","Биз Китоб насиб этганлар уни ҳаққи ила тиловат қилади/унга ҳаққи ила эргашади, унга иймон келтирувчилар ана ўшалардир. Ким унга кофир бўлса/уни инкор этса, зиёнда қолувчилар/бой берувчилар ана ўшалар.","",,
"2:122","Эй Исроил ўғиллари, Сизга берган неъматимни ҳамда сизни оламлардан/бошқа қавмлардан фазилатли қилганимни ёдда тутинг/уларга берилмаган неъматимни сизга берганимни ёдда тутинг!","",,
"2:123","Бир жон бошқаси учун ҳеч нарса ўтай олмайдиган; ундан шафоат қабул қилинмайдиган; ундан бадал олинмайдиган, ва уларга ёрдам қилинмайдиган Кундан тақво қилинг/эҳтиёт бўлинг.","",,
"2:124","Эсланг, Иброҳимни Рабби калималар ила синовга тутди, уларни тамомлади ва деди: “Мен сени одамларга имом қиламан”. Иброҳим деди: “Зурриётимдан ҳам”. У деди: “Менинг Аҳдим Золимларга таллуқли эмас”.","",,
"2:125"," Эсланг, Биз Байтни одамлар учун ўзаро ҳақлар ўталадиган ва омонлик таъминланган макон қилдик. Иброҳимнинг мақомидан Мусалло/эргашиш намунаси олинг. Иброҳим ва Исмоилга шуни етказдик: “Тоифлар/Инсонларнинг моли-жонини ҳимоя қилувчилар, Акифлар/Бузғунчилик ва фасоднинг олдини олгувчилар ва Рукуъ-Сажда/илоҳий буйруқларга тўлиқ бўйсуниб таслим бўлувчилар учун Менинг Байтимни Пок тутинг”. (*Байт - Жамланиш Макони/Замони ёки Жамланишнинг Ўзи; Байтуллоҳ - Аллоҳнинг Уйи, барча инсонлар учун бирдек омонлик таъминланган жамланиш ўрни. 2:142-143, 3:96, 5:97, 14:35, 22:25).",*,,
"2:126","Эсланг, Иброҳим деди: “Эй Раббим, бу ерни омонлик шаҳри қилгин; унинг аҳли орасида Аллоҳга ва Охират кунига иймон келтирганларни ҳосиллар ила ризқлантиргин”. У деди: “Ким кофир бўлса, уни ҳам бироз баҳраманд қиламан, сўнгра Олов азобига мажбурлайман. Қанчалар ёмон оқибат!”","",,
"2:127","Эсланг, Иброҳим Байтнинг тамалидан кўтараётир, Исмоил ҳам: “Эй Эгамиз, биздан қабул айла, Самиъ Алим/Эшитгувчи Билгувчи Сен Ўзингсан”.","",,
"2:128","“Эй Эгамиз, иккимизни Ўзингга таслим бўлганлардан/муслимлардан айла, ҳамда зурриётимиздан Сенга таслим бўлган уммат етиштир, бизга мансакларимизни* кўрсат, тавбамизни қабул айла. Албатта, Сен Таввоб Раҳимсан/тавбаларни қабул айлагувчи, раҳмдил”. (*Мансак - Аллоҳга Унинг Байтида қуллик/хизмат этишнинг йўллари)","",,
"2:129","“Эй Раббимиз, улар орасидан Расул чиқар, уларга Сенинг оятларингни тиловат қилсин, Китобни ва Ҳикматни ўргатсин, уларни покласин. Албатта, Азиз Ҳаким Сен Ўзингсан/чексиз куч-қудрат ва ҳикмат эгаси”.","",,
"2:130","Ақлини ишлатмаган нодонлардан бошқа ким ҳам Иброҳимнинг миллатидан/динидан юз ўгирарди? Албатта, Биз уни бу дунёда танлаб олдик, Охиратда ҳам у албатта солиҳлардан.","",,
"2:131","Эсланг, Рабби унга деди: “Таслим бўл/мусулмон бўл!” У ҳам деди: “Оламларнинг Раббига таслим бўлдим”.","",,
"2:132","Иброҳим ҳам Яъқуб ҳам ўғилларига шуни васият қилган: “Эй ўғилларим, Аллоҳ сизга мана шу динни танлаган, сизга ўлим келмай туриб таслим бўлинг”.","",,
"2:133","Ёки Яъқубга ажал етганида, гувоҳ эдингизми? Эсланг, у деди: “Мендан кейин нимага ибодат қиласиз?”, улар дедилар: “Сенинг илоҳинг ва ота-боболаринг Иброҳим, Исмоил ва Исҳоқнинг илоҳига, яккаю-ягона Илоҳга ибодат қиламиз, ва Унга таслим бўламиз/мусулмон бўламиз”.","",,
"2:134","Улар ўтмишдаги уммат, уларнинг эришгани ўзларига. Сизнинг эришганингиз сизларга. Уларнинг қилган амалларидан сиз жавобгар бўлмайсиз/сизга эваз берилмайди.","",,
"2:135","Яна улар дедилар: “Яҳуд ё Насоро бўлинг, Тўғри Йўлда бўласиз”. Сен айт: “Йўқ, аксинча “Мушриклардан бўлмаган Иброҳимнинг ҳаниф миллати”.","",,
"2:136","Айтинглар: “Биз Аллоҳга иймон келтирдик, ҳамда бизга нозил этилганга, Иброҳимга, Исмоилга, Исҳоққа, Йаъқуб ва унинг авлодларига нозил этилганга, Мусога, Ийсога берилганга ва Набийларга Рабби ҳузуридан берилганга ишониб тасдиқлаймиз, улар орасидан ҳеч бирини айирмаймиз. Ёлғиз Унга таслим бўлганмиз”.","",,
"2:137","Агар улар ҳам сиз иймон келтирганингиз каби иймон келтирсалар, Тўғри Йўлда бўладилар. Агар юз ўгирсалар, улар ундан айри йўлдалар/ўзаро айри йўлдалар. Аллоҳнинг Ўзи Сенга уларнинг барчасига қарши етарли. У Самиъ Алим/Эшитгувчи, Билгувчи.","",,
"2:138",Аллоҳнинг Сибғат/динга қабул қилиши* шу. Аллоҳдан-да яхшироқ динга қабул қилгувчи ким?! Биз ёлғиз Унга қуллик/хизмат қиламиз.,"",,
"2:139","Сен айт: “Аллоҳ бизнинг Раббимиз ва сизнинг Раббингиз, ва биз ўз амалимиз учун жавобгармиз, сиз ўз амалингиз учун жавобгарсиз, ва биз динни ёлғиз Унга холис қиламиз. Сиз яна биз билан Аллоҳ ҳақида тортишаяпсизми?!”","",,
"2:140"," Ёки “Иброҳим, Исмоил, Исҳоқ, Йаъқуб ва унинг авлодлари яҳуд ва насоро бўлган”, деяпсизми?! Сен айт: “Сиз яхшироқ биласизми ёки Аллоҳми?” Олдида Аллоҳдан бўлган гувоҳлик бўла туриб, уни яширувчи кимсадан золимроғи борми?! Аллоҳ қилаётган амалларингиздан  ғофил/бехабар эмас”. (*Яҳудий мазҳаблар Мусо даврида бўлмаган, Насроний мазҳаблар ҳам Исо даврида бўлмаган).",*,,
"2:141","Улар ўтмишдаги уммат, уларнинг эришгани ўзларига. Сизнинг эришганингиз сизларга. Уларнинг қилган амалларидан сиз жавобгар бўлмайсиз/сизга эваз берилмайди.","",,
"2:142","Одамлар орасидаги Нодонлар дейдилар: “Булар нега Қибласидан/Йўналишидан юз бурдилар?” Сен айт: “Машриқ ва Мағриб Аллоҳнинг, Ўзи истаганини Тўғри Йўлга йўллайди”.","",,
"2:143"," Ана шундай. Биз сизни Васат Уммат/йўлдан оғмаган уммат қилдик, токи одамларга гувоҳ бўлинг, Расул сизга гувоҳ бўлсин. Токи ким Расулга эргашади, ким ортига қайтиб кетади, маълум бўлиши учун, сенинг Қиблангни/Йўналишингни ана шундай қилдик. Бу ҳақиқатан оғир, фақат Аллоҳ Тўғри Йўлни кўрсатганлар мустасно. Аллоҳ иймонингизни зое қилмайди. Аллоҳ одамларга Рауф Раҳим/шафқатли ва раҳмдил. (*Васат уммат - яҳудийлик ва насоролик тарафга оғмаган, Иброҳимий ҳанифлик йўлида давом этувчи уммат. Гувоҳ бўлиш - асл динни етказиш ва ўзи амал қилиш)",*,,
"1:1",Раҳмон/яратиб ризқ берган ва Раҳим/ўргатиб тарбиялаган Аллоҳнинг исми билан (96:1-5),"",,
"1:2","Оламларнинг Рабби* Аллоҳга ҳамд бўлсин, (96:3)","",,
"1:3","Раҳмон/Оламларни яратиб ризқ берган; Раҳим/одамзотнинг билмаганини ўргатиб тарбиялаган, (96:4-5)","",,
"1:4",Дин Куни*нинг/илоҳий ҳукмлар устивор бўлган даврнинг Ҳукмдори/Эгаси. (96:6-8),"",,
"1:5",Ёлғиз Сенга қуллик/хизмат қиламиз* (96:9) Ёлғиз Сендан мадад сўраймиз* - (96:10),"",,
"1:6",Тўғри Йўлни ўргат бизларга - (96:11),"",,
"1:7","Сен Неъмат берганларнинг* Йўлини (96:12); Ғазабга учраганларнинг эмас, Адашганларнинг ҳам эмас (96:13).","",,
"2:1",Алиф Лом Мим,"",,
"2:2",Ўша Китоб/Қонуният - унда шубҳа йўқки - Тақво қилувчилар учун Тўғри Йўлни кўрсатишдир.,"",,
"2:2","Улар Ғайбга/Кўзга кўринмаган ҳақиқатларга/илоҳий ваъдаларга ишонадилар, ва Салотни қоим қиладилар/Кўрсатилган Йўлга эргашадилар, яъни Биз берган ризқдан Инфоқ этадилар.","",,
"2:4",Улар сенга нозил қилинганга ва сендан олдин нозил қилинганга ишонадилар ҳамда Охиратга/Қиёмат Кунидаги ҳисоб-китоб ва мукофот/жазога қатъий ишонадилар.,"",,
"2:5","Ана ўшалар Раббининг кўрсатган Тўғри Йўлида, ана ўшалар Нажот топадилар/муродига етадилар.","",,
"2:6","Кофир бўлганлар эса, огоҳ этсанг ҳам огоҳ этмасанг ҳам, барибир имон келтирмайдилар.","",,
"2:7","Аллоҳ уларнинг қалбини муҳрлаб қўйган, уларнинг қулоқлари ва кўзларини парда қоплаган. Улар учун Улуғ Азоб бор.","",,
"2:8","Бу одамлар орасида шундайлари бор, ўзлари имон келтирмаган, аммо “Аллоҳга ва Охират кунига имон келтирдик”, дейишади.","",,
"2:9","Улар Аллоҳни ва имон келтирганларни алдамоқчилар. Бироқ ўзларидан/бир-бирларидан бошқани алдай олмайди, лекин буни сезишмайди.","",,
"2:10","Уларнинг қалбларида мараз/касаллик бор, Аллоҳ маразларини орттиради. Ёлғонлари боис уларга Аламли Азоб бор.","",,
"2:11","Қачонки уларга: “Ер юзида бузғунчилик қилманг!” дейилса, “Биз фақат ислоҳ қиламиз!” дейишади.","",,
"2:12","Билиб қўйинг, улар ўзлари Бузғунчилар, бироқ буни сезишмайди.","",,
"2:13","Қачонки уларга: “Мана бу кишилар каби иймон келтиринг!”, дейилса, улар дейишади: “Мана шу нодонлар каби иймон келтирайликми?” Билиб қўйинг, улар ўзлари Нодонлар, бироқ буни билишмайди.","",,
"2:14","Қачонки имон келтирганларга йўлиққанида, улар дейишади: “Биз иймон келтирганмиз”. Қачонки, Шайтонлари/йўлдан оздирувчилари билан холий қолганларида, дейишади: “Биз аслида сиз биланмиз, биз фақат устларидан кулаяпмиз”.","",,
"2:15","Аллоҳ уларнинг устидан кулади - уларни ўз Туғёнида/ўша ҳаддан ошишида, адашиб-улоқишида қўйиб беради.","",,
"2:16","Ана ўшалар, Тўғри Йўл ўрнига Адашувни сотиб олганлар. Бу тижоратлари фойда бермади, улар Тўғри Йўлга юрганлар бўлмади.","",,
"2:17","Улар бамисоли ОЛОВ ёққан одам каби. Ёққан олови эндигина атрофини ёритганида, Аллоҳ уни ўчиради, улар қоронғуда қолади, ҳеч нарса кўрмайди.","",,
"2:18","Улар кар, соқов, кўр, шу боис қайта олмайдилар.","",,
"2:19","Ёки бамисоли самодан ёмғир ёғиб, қоронғу босиб, момақалдироқ ва чақмоқ чаққанида, яшиндан қочиб, бармоқларини қулоқларига тиққан ва ўлимдан сақланмоқчи бўлган кимса каби. Аллоҳ бундай кофирларни ўраб/ихота қилиб олади.","",,
"2:20","Чақмоқ уларнинг кўзини олиб қўяй дейди. Ёришган пайтда юриб олишади, қоронғи бўлганда, тўхташади. Аллоҳ истаганда, уларнинг кўз-қулоқларини олиб қўйган бўларди. Аллоҳ барча нарсага қодир/барча нарсанинг ўлчовини қўйган.","",,
"2:21","Эй одамлар! Тақво эгалари бўлиш учун, Яратган Раббингизга қуллик/хизмат қилинг! У сизни ҳам, сиздан олдингиларни ҳам яратган,","",,
"2:22","сизга Ерни текис қилиб ёйган, Самони баланд қилиб кўтарган; Самодан сув ёғдириб, сизга ризқ қилиб хосиллар чиқарган. Шуларни билиб туриб, ўзгаларни Аллоҳга тенг қилиб олманг.","",,
"2:23","Агар қулимизга нозил қилганимиздан шубҳангиз бўлса, унга ўхшаш биргина сура келтиринг, ва Аллоҳдан ўзга гувоҳларингизни чақиринг, агар шубҳангиз тўғри бўлса.","",,
"2:24","Агар келтира олмасангиз, асло келтира олмассиз ҳам, у ҳолда ёқилғиси одамлар ва тошлар бўлган ўша Оловдан эҳтиёт бўлинг/тақво қилинг, у кофирлар учун тайёрлаб қўйилган.","",,
"2:25","Имон келтирган ва солиҳ амал қилганларга мужда бўлсинки, уларга остидан анҳорлар оққан боғ-роғлар  бор. Ҳар гал унинг мевасидан баҳраманд бўлганларида, “Бу бизга олдинроқ ҳам берилган ризқлар”, дейишади. Уларга ўхшашлари берилади. Уларга у ерда бу ризқнинг покиза турлари бор; улар у ерда доимий қоладилар.","",,
"2:26"," Албатта, Аллоҳ бирор қисмий мисолни ёки ундан яхшироғини мисол келтиришдан ҳаё қилмайди. Имон келтирганлар буни Раббидан ҳаққ эканини биладилар. Кофир бўлганлар эса дейдиларки: “Аллоҳ бу мисол билан нимани ирода қилган?”  Бу билан кўпларни адаштиради, кўпларни Тўғри Йўлга йўллайди. Бу билан фақат Фосиқларни/йўлдан озганларни адаштиради, (оятда - БАЪУЗА - умумдан озроқ қисмий мисол, ФАВҚА - уст бўлган, яхшироқ бўлган; яъни ўтган китоблардан келтирилган оятларнинг мисли ёки яхшироғи - 2:106)",*,,
"2:27","улар Аллоҳ билан Аҳд* боғлагандан кейин бузадиган, Аллоҳнинг боғлашга буюрганини узадиган, Ер юзида бузғунчилик қиладиганлардир. Зиён кўрувчилар/бой берувчилар ана ўшалар. (Аллоҳ билан боғланган Аҳд ва уни бузиш - 2:63,83)","",,
"2:28","Сиз ўлик эканингизда, У сизга ҳаёт берди, сўнг яна ўлим беради, сўнг тирилтиради, сўнг Унга қайтариласиз. Яна қандай қилиб Аллоҳга кофир бўласиз?","",,
"2:29","Ер юзидаги борлиқни сиз учун/сизнинг эҳтиёжингизга мослаб яратган Унинг Ўзидир. Сўнгра Самога йўналди, уни ҳам Етти Само қилди, У барча нарсани билгувчи.","",,
"2:30","Эсла, Раббинг Малакларга/илм ва куч эгаларига деди: “Мен ер юзида Халифа* қиламан”. Улар дедилар: “Ер юзида бузғунчилик қиладиган ва қонлар тўкадиганними? Биз Сени ҳамд ва тасбиҳ ила тақдис* этамиз”. У деди: “Сиз билмаганни ёлғиз Мен биламан”. (*Халифа - Илм ва Амр берилган; бирининг ортидан бошқаси келадиган - Расул ва Набийлар ҳамда уларнинг умматлари)","",,
"2:31","Одамга барча Исмларни билдирди, сўнг уларни Малакларга рўбарў қилди ва деди: “Агар содиқ* бўлсангиз, ана шу исмларни хабар беринг Менга”. (*Ҳамд ила тасбиҳ ва тақдис учун Аллоҳни етарлича танишларида содиқ бўлсалар)","",,
"2:32",Улар дедилар: “Сен Пок ва Олийсан! Сен бизга билдирган илмдан бошқа илм йўқ бизда. Илм ва Ҳикмат эгаси ёлғиз Сенсан”.,"",,
"2:33","У деди: “Эй Одам, уларга ана шу исмларни хабар бер”. Уларга исмларни хабар берганида, У деди: “Осмонлару-Ернинг ғайби Менга маълум, ва сизнинг яширину-ошкор нимангиз бор, барчасини Мен биламан демаганмидим?!”","",,
"2:34","Эсланг, Биз Малакларга дедик: “Одамга сажда қилинг/тўлиқ бўйсунинг!” Барчаси сажда қилди/тўлиқ бўйсунди, фақат Иблис бўйин товлади, кибр қилди ва кофирлардан бўлди.","",,
"2:35","Дедик: “Эй Одам, сен ва ҳамроҳинг Жаннатни маскан тутинг. Унда истаганингиздан енг, мана бу шажарага яқинлашманг, акс ҳолда золимлардан бўласиз/бошқалар ҳаққига ноҳақлик қилган бўласиз”.","",,
"2:36","Шайтон/йўлдан оздирувчи уларни тойдирди ва жаннатий ҳолатларидан чиқарди. Биз дедик: “Тарқалинг, бир-бирингизга душмансиз, сизга Ер юзи бир муддатгача яшаш ва фойдаланиш жойидир”.","",,
"2:37","Одам ўз Раббидан Сўзлар олди, У ҳам унга қайтди/унинг тавбасини қабул этди. Зеро У Таввоб Раҳим/тавбаларни қабул қилувчи, бандасига қайтувчи ва раҳмдил.","",,
"2:38","Биз дедик: “Барчангиз тарқалинг ундан! Мендан сизга Тўғри Йўл келади. Ким Менинг Тўғри Йўлимга эргашса, уларга хавф-хатар йўқ ва улар маҳзун бўлмайдилар”.","",,
"2:39","Бизнинг оятларимизга кофир бўлганлар ва уларни ёлғон санаганлар эса, Олов аҳлидир, унда доимий қоладилар.","",,
"2:40","Эй Исроил ўғиллари! Сизга берган неъматимни ёдда тутинг; Мен сизга берган Аҳдимга вафо қилар эканман, сиз ҳам Менга берган Аҳдингизга вафо қилинг ва ёлғиз Мендан қўрқинг.","",,
"2:41","Сиздаги Китобни тасдиқлаб нозил қилганимга ишониб тасдиқ этинг. Унга кофир бўлганларнинг аввали/боши бўлманг. Менинг оятларимни оз эвазга сотманг, ёлғиз Менга тақво қилинг.","",,
"2:42",Ҳақни Ботил билан ўраманг ва билиб туриб ушбу Ҳақни беркитманг.,"",,
"2:43","Салотни қоим қилинг/Кўрсатил Йўлга эргашинг, Закотни адо этинг/Қайтариқлардан қайтинг ва Рукуъ қилувчилар билан бирга рукуъ қилинг/бўйин эгганлар билан бирга бўйин эгинг.","",,
"2:44","Наҳотки Китобни тиловат қилиб, одамларга яхшиликни буюрасиз-у, ўз ичингизда буюрмайсиз/ўзингизни тарк этасиз? Ҳеч ақл ишлатмайсизми?!","",,
"2:45","Сабр ва Салот/Буюрилган Йўлга эргашиш билан мадад истанг. Бу ҳақиқатан қийин, фақат хушуъ эгалари мустасно.","",,
"2:46",Улар Раббига рўбарў бўлишларига ҳамда Унга қайтишларига аниқ ишонадилар.,"",,
"2:47","Эй Исроил ўғиллари, Сизга берган неъматимни ҳамда сизни оламлардан/бошқа қавмлардан фазилатли қилганимни ёдда тутинг/уларга берилмаган неъматимни сизга берганимни ёдда тутинг!","",,
"2:48","Бир жон бошқаси учун ҳеч нарса ўтай олмайдиган; ундан шафоат қабул қилинмайдиган; ундан бадал олинмайдиган, ва уларга ёрдам қилинмайдиган Кундан тақво қилинг/эҳтиёт бўлинг.","",,
"2:49","Эсланг, сизга ёмон азоблар бераётган Фиръавн хонадонидан нажот бердик. У ўғилларингизни забҳ этиб/қаршилигини синдириб, аёлларингизни ҳаётда қолдираётган/уятли ҳолатга солаётган эди, ва бунда Раббингиздан улуғ синов бор эди.","",,
"2:50","Эсланг, сиз билан денгизни айирдик, сизни халос этдик, кўз олдингизда Фиръавн хонадонини ғарқ қилдик.","",,
"2:51","Эсланг, Мусо билан қирқ кечага ваъдалашдик, сиз эса ундан кейин жабр-зулм қилиб, олтинни/бузоқни илоҳ тутдингиз.","",,
"2:52",Сўнгра шукур қилишингиз учун сизни афв этдик.,"",,
"2:53","Эсланг, Тўғри Йўлга юришингиз учун Мусога Китобни/Қонунни ва Фурқонни/ҳақ ва ботилни ажратишни бердик.","",,
"2:54","Эсланг, Мусо қавмига деди: “Эй қавмим, сиз олтинни/бузоқни илоҳ тутиб, ўзингизга жабр-зулм қилдингиз. Сизни халос қилган Зотга тавба қилиб қайтинг! Ўзингизни ўлдиринг - Раббингиз наздида ана шу сизга яхшироқ”. У сизга қайтди/тавбангизни қабул қилди. Зеро У Таввоб Раҳим/тавбаларни қабул қилувчи ва раҳмдил.","",,
"2:55","Эсланг, сиз Мусога дедингиз: “Эй Мусо, Аллоҳни очиқ кўрмасдан, сенга ҳеч қачон ишонмаймиз!”, шу боис кўз ўнгингизда сизни яшин урди. ","",,
"2:56","Сўнгра ўлимингиздан кейин, шукр қилишингиз учун ҳаётга қайтардик сизни,","",,
"2:57","Ва устингиздан булутни соя солдириб қўйдик, сизга Манна ва Салво* туширдик. Аллоҳ берган покиза ризқлардан енг. Улар бизга жабр қилолмасди, балки ўз-ўзларига жабр/зулм қилувчи эдилар. (*Манна ва Салво = қавмнинг барча аъзоларига тенг етадиган Аллоҳнинг ризқи).","",,
"2:58","Эсланг, Биз сизга дедик: “Мана шу шаҳарга киринг ва хоҳлаган жойидан енг, ва эшикдан сажда қилган/тўлиқ бўйсунган ҳолда киринг. “Ҳитта”/бизни авф айла!” денг,  Биз хатоларингизни кечирамиз; яхшилик қилгувчиларга эса яна-да зиёда қилиб берамиз”.","",,
"2:59","Аммо ичингиздаги золимлар, ўзларига айтилган сўзни зулм ила бошқа сўзга ўзгартирди. Биз бундай золимларга фосиқлиги/йўлдан озгани учун устларидан Рижз/Азоб туширдик.","",,
"2:60","Эсланг, Мусо ўз қавми учун сув истаганида, “Асоинг-ла тошни қўзғат!” дедик, ундан ўн икки айн/чашма отилиб чиқди, ҳар қабила ўз суғориш ўрнини билиб олди. “Аллоҳ берган ризқдан еб-ичинг. Ер юзида бузғунчилик ёйманг!”","",,
"2:61","Эсланг, Мусога дедингиз: “Эй Мусо, биз бир хил егуликка сабримиз етмаяпти. Раббингга дуо қил-да, бизга ердан чиққан сабзавот: бодринг, саримсоқ, мош, пиёз берсин”. У деди: “Наҳотки бир хайр ўрнига бир пастни истайсиз? Мисрга/шаҳарга боринг, сўраганингизни топасиз”. Шу боис уларга зиллат/хорлик ва қашшоқлик тамғаси урилди. Аллоҳнинг ғазабига дучор бўлдилар, зеро улар Аллоҳнинг оятларини инкор этгандилар, ва Набийларни ноҳақ ўлдирган эдилар. Исёнлари ва ҳаддан ошганлари боис улар шунга лойиқ кўрилди.","",,
"2:62","Имон келтирганлар: яҳудийлар, насоролар ва собиийлар, Аллоҳга ва Охират кунига иймон келтирган бўлса ва солиҳ амал қилган бўлса, ана ўшаларга Рабби ҳузурида ажр-мукофотлар бор. Уларга хавф-хатар йўқ, улар маҳзун бўлмайдилар (2:38).","",,
